model,mode,image,n_gt,n_det25,tp25,fp25
v2_deployed,color,DT (282).jpg,1,1,0,1
v2_deployed,color,DT (374).jpg,1,1,0,1
v2_deployed,color,DT (250).jpg,1,2,0,2
v2_deployed,color,DT (13).jpg,1,1,0,1
v2_deployed,color,DT (158).jpg,1,1,0,1
v2_deployed,color,DT (369).jpg,1,1,0,1
v2_deployed,color,DT (202).jpg,1,0,0,0
v2_deployed,color,DT (162).jpg,1,1,0,1
v2_deployed,color,DT (103).jpg,1,2,0,2
v2_deployed,color,DT (379).jpg,1,3,0,3
v2_deployed,color,DT (243).jpg,1,1,0,1
v2_deployed,color,DT (190).jpg,1,0,0,0
v2_deployed,color,DT (208).jpg,1,1,0,1
v2_deployed,color,DT (323).jpg,1,2,0,2
v2_deployed,color,DT (403).jpg,1,2,0,2
v2_deployed,color,DT (259).jpg,1,1,0,1
v2_deployed,color,DT (163).jpg,1,1,0,1
v2_deployed,color,DT (169).jpg,1,1,0,1
v2_deployed,color,DT (76).jpg,1,4,0,4
v2_deployed,color,DT (51).jpg,1,2,0,2
v2_deployed,color,DT (239).jpg,1,1,0,1
v2_deployed,color,DT (126).jpg,1,4,0,4
v2_deployed,color,DT (391).jpg,1,2,0,2
v2_deployed,color,DT (121).jpg,1,0,0,0
v2_deployed,color,DT (24).jpg,1,2,0,2
v2_deployed,color,DT (313).jpg,1,1,0,1
v2_deployed,color,BT (112).jpg,0,0,0,0
v2_deployed,color,BT (177).jpg,0,1,0,1
v2_deployed,color,BT (192).jpg,0,0,0,0
v2_deployed,color,BT (21).jpg,0,2,0,2
v2_deployed,color,BT (266).jpg,0,1,0,1
v2_deployed,color,BT (77).jpg,0,2,0,2
v2_deployed,color,BT (222).jpg,0,0,0,0
v2_deployed,color,BT (175).jpg,0,1,0,1
v2_deployed,color,BT (40).jpg,0,2,0,2
v2_deployed,color,BT (308).jpg,0,0,0,0
v2_deployed,color,BT (299).jpg,0,0,0,0
v2_deployed,color,BT (11).jpg,0,1,0,1
v2_deployed,color,BT (102).jpg,0,2,0,2
v2_deployed,color,BT (190).jpg,0,0,0,0
v2_deployed,color,BT (99).jpg,0,3,0,3
v2_deployed,color,BT (53).jpg,0,2,0,2
v2_deployed,color,BT (139).jpg,0,1,0,1
v2_deployed,color,BT (81).jpg,0,0,0,0
v2_deployed,color,BT (101).jpg,0,2,0,2
v2_deployed,color,BT (93).jpg,0,0,0,0
v2_deployed,color,BT (64).jpg,0,1,0,1
v2_deployed,color,BT (82).jpg,0,0,0,0
v2_deployed,color,BT (106).jpg,0,2,0,2
v2_deployed,color,BT (45).jpg,0,1,0,1
v2_deployed,color,BT (20).jpg,0,1,0,1
v2_deployed,color,BT (191).jpg,0,0,0,0
v2_deployed,color,BT (271).jpg,0,1,0,1
v2_deployed,color,BT (144).jpg,0,1,0,1
v2_deployed,color,BT (297).jpg,0,0,0,0
v2_deployed,color,BT (357).jpg,0,3,0,3
v2_deployed,color,BT (160).jpg,0,0,0,0
v2_deployed,color,BT (41).jpg,0,2,0,2
v2_deployed,color,BT (87).jpg,0,2,0,2
v2_deployed,color,BT (290).jpg,0,0,0,0
v2_deployed,color,BT (256).jpg,0,1,0,1
v2_deployed,color,BT (37).jpg,0,2,0,2
v2_deployed,color,BT (165).jpg,0,1,0,1
v2_deployed,color,BT (321).jpg,0,2,0,2
v2_deployed,color,BT (143).jpg,0,1,0,1
v2_deployed,color,BT (294).jpg,0,1,0,1
v2_deployed,color,BT (3).jpg,0,3,0,3
v2_deployed,color,BT (27).jpg,0,1,0,1
v2_deployed,color,BT (137).jpg,0,1,0,1
v2_deployed,color,BT (348).jpg,0,0,0,0
v2_deployed,color,BT (298).jpg,0,0,0,0
v2_deployed,color,BT (72).jpg,0,0,0,0
v2_deployed,color,BT (231).jpg,0,1,0,1
v2_deployed,color,BT (79).jpg,0,0,0,0
v2_deployed,color,BT (293).jpg,0,0,0,0
v2_deployed,color,BT (284).jpg,0,0,0,0
v2_deployed,color,BT (225).jpg,0,0,0,0
v2_deployed,color,BT (334).jpg,0,2,0,2
v2_deployed,color,BT (161).jpg,0,0,0,0
v2_deployed,color,BT (286).jpg,0,0,0,0
v2_deployed,color,BT (170).jpg,0,1,0,1
v2_deployed,color,BT (218).jpg,0,1,0,1
v2_deployed,color,BT (344).jpg,0,0,0,0
v2_deployed,color,BT (282).jpg,0,0,0,0
v2_deployed,color,BT (86).jpg,0,1,0,1
v2_deployed,color,BT (233).jpg,0,1,0,1
v2_deployed,color,BT (107).jpg,0,2,0,2
v2_deployed,color,BT (341).jpg,0,0,0,0
v2_deployed,color,BT (13).jpg,0,2,0,2
v2_deployed,color,BT (322).jpg,0,2,0,2
v2_deployed,color,BT (244).jpg,0,1,0,1
v2_deployed,color,BT (25).jpg,0,1,0,1
v2_deployed,color,BT (123).jpg,0,1,0,1
v2_deployed,color,BT (211).jpg,0,1,0,1
v2_deployed,color,BT (207).jpg,0,0,0,0
v2_deployed,color,BT (178).jpg,0,0,0,0
v2_deployed,color,BT (33).jpg,0,2,0,2
v2_deployed,color,BT (188).jpg,0,0,0,0
v2_deployed,color,BT (217).jpg,0,1,0,1
v2_deployed,color,BT (154).jpg,0,1,0,1
v2_deployed,color,BT (32).jpg,0,0,0,0
v2_deployed,color,BT (260).jpg,0,0,0,0
v2_deployed,color,BT (88).jpg,0,2,0,2
v2_deployed,color,BT (242).jpg,0,2,0,2
v2_deployed,color,BT (350).jpg,0,0,0,0
v2_deployed,color,BT (97).jpg,0,1,0,1
v2_deployed,color,BT (36).jpg,0,2,0,2
v2_deployed,color,BT (52).jpg,0,2,0,2
v2_deployed,color,BT (119).jpg,0,0,0,0
v2_deployed,color,BT (70).jpg,0,1,0,1
v2_deployed,color,BT (193).jpg,0,0,0,0
v2_deployed,color,BT (85).jpg,0,1,0,1
v2_deployed,color,BT (356).jpg,0,5,0,5
v2_deployed,color,BT (228).jpg,0,0,0,0
v2_deployed,color,BT (24).jpg,0,3,0,3
v2_deployed,color,BT (249).jpg,0,1,0,1
v2_deployed,color,BT (354).jpg,0,7,0,7
v2_deployed,color,BT (163).jpg,0,1,0,1
v2_deployed,color,BT (111).jpg,0,1,0,1
v2_deployed,color,BT (130).jpg,0,1,0,1
v2_deployed,color,BT (110).jpg,0,1,0,1
v2_deployed,color,BT (312).jpg,0,0,0,0
v2_deployed,color,BT (304).jpg,0,0,0,0
v2_deployed,color,BT (224).jpg,0,0,0,0
v2_deployed,color,BT (317).jpg,0,2,0,2
v2_deployed,color,BT (2).jpg,0,2,0,2
v2_deployed,color,BT (90).jpg,0,2,0,2
v2_deployed,color,BT (200).jpg,0,0,0,0
v2_deployed,color,BT (39).jpg,0,2,0,2
v2_deployed,color,BT (29).jpg,0,0,0,0
v2_deployed,color,BT (323).jpg,0,1,0,1
v2_deployed,color,BT (274).jpg,0,0,0,0
v2_deployed,color,BT (262).jpg,0,1,0,1
v2_deployed,color,BT (142).jpg,0,1,0,1
v2_deployed,color,BT (246).jpg,0,1,0,1
v2_deployed,color,BT (351).jpg,0,0,0,0
v2_deployed,color,BT (204).jpg,0,1,0,1
v2_deployed,color,BT (223).jpg,0,0,0,0
v2_deployed,color,BT (227).jpg,0,0,0,0
v2_deployed,color,BT (345).jpg,0,1,0,1
v2_deployed,color,BT (89).jpg,0,1,0,1
v2_deployed,color,BT (324).jpg,0,1,0,1
v2_deployed,color,BT (6).jpg,0,2,0,2
v2_deployed,color,BT (172).jpg,0,0,0,0
v2_deployed,color,BT (212).jpg,0,0,0,0
v2_deployed,color,BT (148).jpg,0,1,0,1
v2_deployed,color,BT (240).jpg,0,1,0,1
v2_deployed,color,BT (358).jpg,0,3,0,3
v2_deployed,color,BT (205).jpg,0,0,0,0
v2_deployed,color,BT (285).jpg,0,0,0,0
v2_deployed,color,BT (245).jpg,0,1,0,1
v2_deployed,color,BT (162).jpg,0,0,0,0
v2_deployed,color,BT (329).jpg,0,1,0,1
v2_deployed,color,BT (220).jpg,0,1,0,1
v2_deployed,color,BT (328).jpg,0,2,0,2
v2_deployed,color,BT (267).jpg,0,0,0,0
v2_deployed,color,BT (335).jpg,0,2,0,2
v2_deployed,color,BT (19).jpg,0,1,0,1
v2_deployed,color,BT (103).jpg,0,1,0,1
v2_deployed,color,BT (247).jpg,0,2,0,2
v2_deployed,color,BT (327).jpg,0,1,0,1
v2_deployed,color,BT (8).jpg,0,2,0,2
v2_deployed,color,BT (185).jpg,0,1,0,1
v2_deployed,color,BT (241).jpg,0,1,0,1
v2_deployed,color,BT (255).jpg,0,1,0,1
v2_deployed,color,BT (153).jpg,0,1,0,1
v2_deployed,color,BT (96).jpg,0,1,0,1
v2_deployed,color,BT (58).jpg,0,1,0,1
v2_deployed,color,BT (171).jpg,0,1,0,1
v2_deployed,color,BT (150).jpg,0,1,0,1
v2_deployed,color,BT (128).jpg,0,1,0,1
v2_deployed,color,BT (30).jpg,0,1,0,1
v2_deployed,color,BT (336).jpg,0,2,0,2
v2_deployed,color,BT (135).jpg,0,1,0,1
v2_deployed,color,BT (301).jpg,0,0,0,0
v2_deployed,color,BT (71).jpg,0,2,0,2
v2_deployed,gray,DT (165).jpg,1,2,0,2
v2_deployed,gray,DT (19).jpg,1,2,0,2
v2_deployed,gray,DT (526).jpg,1,3,0,3
v2_deployed,gray,DT (151).jpg,1,3,0,3
v2_deployed,gray,DT (276).jpg,1,3,0,3
v2_deployed,gray,DT (528).jpg,1,3,0,3
v2_deployed,gray,DT (22).jpg,1,0,0,0
v2_deployed,gray,DT (56).jpg,1,3,0,3
v2_deployed,gray,DT (229).jpg,1,2,0,2
v2_deployed,gray,DT (366).jpg,1,7,0,7
v2_deployed,gray,DT (387).jpg,1,3,0,3
v2_deployed,gray,DT (218).jpg,1,1,0,1
v2_deployed,gray,DT (160).jpg,1,2,0,2
v2_deployed,gray,DT (295).jpg,1,2,0,2
v2_deployed,gray,DT (356).jpg,1,5,0,5
v2_deployed,gray,DT (281).jpg,1,4,0,4
v2_deployed,gray,DT (180).jpg,1,7,0,7
v2_deployed,gray,DT (114).jpg,1,4,0,4
v2_deployed,gray,DT (506).jpg,1,10,1,9
v2_deployed,gray,DT (459).jpg,1,1,0,1
v2_deployed,gray,DT (343).jpg,1,3,0,3
v2_deployed,gray,DT (237).jpg,1,3,0,3
v2_deployed,gray,DT (122).jpg,1,4,0,4
v2_deployed,gray,DT (194).jpg,1,7,0,7
v2_deployed,gray,DT (27).jpg,1,5,0,5
v2_deployed,gray,DT (351).jpg,1,6,0,6
v2_deployed,gray,DT (260).jpg,1,2,0,2
v2_deployed,gray,DT (283).jpg,1,3,0,3
v2_deployed,gray,DT (234).jpg,1,5,1,4
v2_deployed,gray,DT (400).jpg,1,3,0,3
v2_deployed,gray,DT (197).jpg,1,7,0,7
v2_deployed,gray,DT (401).jpg,1,3,0,3
v2_deployed,gray,DT (15).jpg,1,3,0,3
v2_deployed,gray,DT (40).jpg,1,5,0,5
v2_deployed,gray,DT (26).jpg,1,5,0,5
v2_deployed,gray,DT (450).jpg,1,0,0,0
v2_deployed,gray,DT (399).jpg,1,3,0,3
v2_deployed,gray,DT (215).jpg,1,2,0,2
v2_deployed,gray,DT (272).jpg,1,3,0,3
v2_deployed,gray,DT (211).jpg,1,3,0,3
v2_deployed,gray,DT (240).jpg,1,5,0,5
v2_deployed,gray,DT (311).jpg,1,3,0,3
v2_deployed,gray,DT (236).jpg,1,4,0,4
v2_deployed,gray,DT (53).jpg,1,4,0,4
v2_deployed,gray,DT (221).jpg,1,0,0,0
v2_deployed,gray,DT (417).jpg,1,3,0,3
v2_deployed,gray,DT (318).jpg,1,3,0,3
v2_deployed,gray,DT (380).jpg,1,3,0,3
v2_deployed,gray,DT (64).jpg,1,2,0,2
v2_deployed,gray,DT (203).jpg,1,7,0,7
v2_deployed,gray,DT (353).jpg,1,5,0,5
v2_deployed,gray,DT (37).jpg,1,5,0,5
v2_deployed,gray,DT (376).jpg,1,4,0,4
v2_deployed,gray,DT (451).jpg,1,0,0,0
v2_deployed,gray,DT (216).jpg,1,2,0,2
v2_deployed,gray,DT (302).jpg,1,4,0,4
v2_deployed,gray,DT (139).jpg,1,5,0,5
v2_deployed,gray,DT (83).jpg,1,6,0,6
v2_deployed,gray,DT (157).jpg,1,3,0,3
v2_deployed,gray,DT (359).jpg,1,5,0,5
v2_deployed,gray,DT (91).jpg,1,3,0,3
v2_deployed,gray,DT (460).jpg,1,0,0,0
v2_deployed,gray,DT (472).jpg,1,1,0,1
v2_deployed,gray,DT (120).jpg,1,3,0,3
v2_deployed,gray,DT (493).jpg,1,4,0,4
v2_deployed,gray,DT (181).jpg,1,7,0,7
v2_deployed,gray,DT (217).jpg,1,2,0,2
v2_deployed,gray,DT (444).jpg,1,1,0,1
v2_deployed,gray,DT (524).jpg,1,2,0,2
v2_deployed,gray,DT (175).jpg,1,4,0,4
v2_deployed,gray,DT (336).jpg,1,3,0,3
v2_deployed,gray,DT (123).jpg,1,4,0,4
v2_deployed,gray,DT (155).jpg,1,4,0,4
v2_deployed,gray,DT (150).jpg,1,6,0,6
v2_deployed,gray,DT (411).jpg,1,3,0,3
v2_deployed,gray,DT (268).jpg,1,3,0,3
v2_deployed,gray,DT (448).jpg,1,1,0,1
v2_deployed,gray,DT (273).jpg,1,3,0,3
v2_deployed,gray,DT (45).jpg,1,4,0,4
v2_deployed,gray,DT (10).jpg,1,3,0,3
v2_deployed,gray,DT (143).jpg,1,4,0,4
v2_deployed,gray,DT (525).jpg,1,1,0,1
v2_deployed,gray,DT (124).jpg,1,4,0,4
v2_deployed,gray,DT (269).jpg,1,3,0,3
v2_deployed,gray,DT (62).jpg,1,3,0,3
v2_deployed,gray,DT (329).jpg,1,4,0,4
v2_deployed,gray,DT (44).jpg,1,5,0,5
v2_deployed,gray,DT (69).jpg,1,3,0,3
v2_deployed,gray,DT (277).jpg,1,4,0,4
v2_deployed,gray,DT (507).jpg,1,11,1,10
v2_deployed,gray,DT (294).jpg,1,2,0,2
v2_deployed,gray,DT (301).jpg,1,3,0,3
v2_deployed,gray,DT (458).jpg,1,1,0,1
v2_deployed,gray,DT (439).jpg,1,3,0,3
v2_deployed,gray,DT (496).jpg,1,5,0,5
v2_deployed,gray,DT (406).jpg,1,4,0,4
v2_deployed,gray,DT (314).jpg,1,4,0,4
v2_deployed,gray,DT (251).jpg,1,4,0,4
v2_deployed,gray,DT (285).jpg,1,3,0,3
v2_deployed,gray,DT (397).jpg,1,3,0,3
v2_deployed,gray,DT (504).jpg,1,7,1,6
v2_deployed,gray,DT (111).jpg,1,3,0,3
v2_deployed,gray,DT (491).jpg,1,0,0,0
v2_deployed,gray,DT (112).jpg,1,3,0,3
v2_deployed,gray,DT (433).jpg,1,4,0,4
v2_deployed,gray,DT (192).jpg,1,6,0,6
v2_deployed,gray,DT (299).jpg,1,2,0,2
v2_deployed,gray,DT (138).jpg,1,6,0,6
v2_deployed,gray,DT (363).jpg,1,5,0,5
v2_deployed,gray,DT (213).jpg,1,2,0,2
v2_deployed,gray,DT (322).jpg,1,3,0,3
v2_deployed,gray,DT (66).jpg,1,3,0,3
v2_deployed,gray,DT (410).jpg,1,4,0,4
v2_deployed,gray,DT (235).jpg,1,5,0,5
v2_deployed,gray,DT (205).jpg,1,7,0,7
v2_deployed,gray,DT (59).jpg,1,1,0,1
v2_deployed,gray,DT (288).jpg,1,3,0,3
v2_deployed,gray,DT (377).jpg,1,6,0,6
v2_deployed,gray,DT (28).jpg,1,4,0,4
v2_deployed,gray,DT (224).jpg,1,4,0,4
v2_deployed,gray,DT (92).jpg,1,1,0,1
v2_deployed,gray,DT (247).jpg,1,4,0,4
v2_deployed,gray,DT (198).jpg,1,7,0,7
v2_deployed,gray,DT (119).jpg,1,3,0,3
v2_deployed,gray,DT (421).jpg,1,3,0,3
v2_deployed,gray,DT (513).jpg,1,8,0,8
v2_deployed,gray,DT (441).jpg,1,0,0,0
v2_deployed,gray,DT (405).jpg,1,4,0,4
v2_deployed,gray,DT (333).jpg,1,3,0,3
v2_deployed,gray,DT (335).jpg,1,3,0,3
v2_deployed,gray,DT (78).jpg,1,5,0,5
v2_deployed,gray,DT (33).jpg,1,3,0,3
v2_deployed,gray,DT (292).jpg,1,2,0,2
v2_deployed,gray,DT (435).jpg,1,3,0,3
v2_deployed,gray,DT (490).jpg,1,0,0,0
v2_deployed,gray,DT (230).jpg,1,3,0,3
v2_deployed,gray,DT (338).jpg,1,2,0,2
v2_deployed,gray,DT (266).jpg,1,3,1,2
v2_deployed,gray,DT (357).jpg,1,5,0,5
v2_deployed,gray,DT (305).jpg,1,2,0,2
v2_deployed,gray,DT (31).jpg,1,3,0,3
v2_deployed,gray,DT (99).jpg,1,2,0,2
v2_deployed,gray,DT (398).jpg,1,3,0,3
v2_deployed,gray,DT (432).jpg,1,3,0,3
v2_deployed,gray,DT (176).jpg,1,6,0,6
v2_deployed,gray,DT (347).jpg,1,3,0,3
v2_deployed,gray,DT (133).jpg,1,5,0,5
v2_deployed,gray,DT (388).jpg,1,3,0,3
v2_deployed,gray,DT (100).jpg,1,3,0,3
v2_deployed,gray,DT (418).jpg,1,3,0,3
v2_deployed,gray,DT (518).jpg,1,8,0,8
v2_deployed,gray,DT (147).jpg,1,4,0,4
v2_deployed,gray,DT (462).jpg,1,1,0,1
v2_deployed,gray,DT (222).jpg,1,2,0,2
v2_deployed,gray,DT (483).jpg,1,0,0,0
v2_deployed,gray,DT (2).jpg,1,3,0,3
v2_deployed,gray,DT (204).jpg,1,6,0,6
v2_deployed,gray,DT (479).jpg,1,1,0,1
v2_deployed,gray,DT (275).jpg,1,3,0,3
v2_deployed,gray,DT (257).jpg,1,3,0,3
v2_deployed,gray,DT (494).jpg,1,5,0,5
v2_deployed,gray,DT (183).jpg,1,7,0,7
v2_deployed,gray,DT (298).jpg,1,3,0,3
v2_deployed,gray,DT (9).jpg,1,2,0,2
v2_deployed,gray,DT (89).jpg,1,4,0,4
v2_deployed,gray,DT (146).jpg,1,5,0,5
v2_deployed,gray,DT (466).jpg,1,1,0,1
v2_deployed,gray,DT (108).jpg,1,4,0,4
v2_deployed,gray,DT (102).jpg,1,2,0,2
v2_deployed,gray,DT (423).jpg,1,3,0,3
v2_deployed,gray,DT (134).jpg,1,4,0,4
v2_deployed,gray,DT (372).jpg,1,5,0,5
v2_deployed,gray,DT (179).jpg,1,6,0,6
v2_deployed,gray,DT (248).jpg,1,4,0,4
v2_deployed,gray,DT (282).jpg,1,3,0,3
v2_deployed,gray,DT (374).jpg,1,5,0,5
v2_deployed,gray,DT (250).jpg,1,4,0,4
v2_deployed,gray,DT (13).jpg,1,0,0,0
v2_deployed,gray,DT (158).jpg,1,3,0,3
